Time(s),Ch1(A),Ch2(V)
-8.500000000000000611e-04,-1.112752100000000022e+00,-3.345082999999999807e-01
-7.999999999999986289e-04,-1.112752100000000022e+00,-3.345082999999999807e-01
-7.500000000000006661e-04,-1.112752100000000022e+00,-3.413349999999999995e-01
-6.999999999999992339e-04,-1.112752100000000022e+00,-3.413349999999999995e-01
-6.500000000000012712e-04,-1.119578799999999985e+00,-3.345082999999999807e-01
-5.999999999999998390e-04,-1.119578799999999985e+00,-3.481616999999999629e-01
-5.500000000000018763e-04,-1.126405499999999948e+00,-3.345082999999999807e-01
-5.000000000000004441e-04,-1.119578799999999985e+00,-3.413349999999999995e-01
-4.499999999999990119e-04,-1.126405499999999948e+00,-3.549883999999999817e-01
-4.000000000000010492e-04,-1.126405499999999948e+00,-3.481616999999999629e-01
-3.499999999999996170e-04,-1.133232199999999912e+00,-3.345082999999999807e-01
-3.000000000000016542e-04,-1.126405499999999948e+00,-3.413349999999999995e-01
-2.500000000000002220e-04,-1.140058899999999875e+00,-3.549883999999999817e-01
-1.999999999999987899e-04,-1.133232199999999912e+00,-3.481616999999999629e-01
-1.500000000000008271e-04,-1.140058899999999875e+00,-3.549883999999999817e-01
-9.999999999999939493e-05,-1.140058899999999875e+00,-3.413349999999999995e-01
-5.000000000000143219e-05,-1.146885600000000061e+00,-3.686417999999999640e-01
0.000000000000000000e+00,-1.146885600000000061e+00,-3.686417999999999640e-01
5.000000000000143219e-05,-1.146885600000000061e+00,-3.549883999999999817e-01
9.999999999999939493e-05,-1.146885600000000061e+00,-3.686417999999999640e-01
1.500000000000008271e-04,-1.153712300000000024e+00,-3.754684999999999828e-01
1.999999999999987899e-04,-1.153712300000000024e+00,-3.686417999999999640e-01
2.500000000000002220e-04,-1.160538999999999987e+00,-3.822952000000000017e-01
2.999999999999981848e-04,-1.153712300000000024e+00,-3.822952000000000017e-01
3.499999999999996170e-04,-1.160538999999999987e+00,-3.686417999999999640e-01
4.000000000000010492e-04,-1.160538999999999987e+00,-3.618151000000000006e-01
4.499999999999990119e-04,-1.167365699999999951e+00,-3.754684999999999828e-01
5.000000000000004441e-04,-1.160538999999999987e+00,-3.754684999999999828e-01
5.499999999999984068e-04,-1.167365699999999951e+00,-3.686417999999999640e-01
5.999999999999998390e-04,-1.167365699999999951e+00,-3.754684999999999828e-01
6.500000000000012712e-04,-1.174192399999999914e+00,-3.822952000000000017e-01
6.999999999999992339e-04,-1.167365699999999951e+00,-3.891218999999999650e-01
7.500000000000006661e-04,-1.174192399999999914e+00,-3.754684999999999828e-01
7.999999999999986289e-04,-1.174192399999999914e+00,-3.822952000000000017e-01
8.500000000000000611e-04,-1.181019099999999877e+00,-3.891218999999999650e-01
9.000000000000014932e-04,-1.181019099999999877e+00,-3.959485999999999839e-01
9.499999999999994560e-04,-1.187845800000000063e+00,-3.822952000000000017e-01
1.000000000000000888e-03,-1.181019099999999877e+00,-3.754684999999999828e-01
1.049999999999998851e-03,-1.187845800000000063e+00,-3.959485999999999839e-01
1.100000000000000283e-03,-1.187845800000000063e+00,-3.959485999999999839e-01
1.149999999999998246e-03,-1.194672500000000026e+00,-3.891218999999999650e-01
1.199999999999999678e-03,-1.187845800000000063e+00,-3.959485999999999839e-01
1.250000000000001110e-03,-1.194672500000000026e+00,-3.891218999999999650e-01
1.299999999999999073e-03,-1.194672500000000026e+00,-3.959485999999999839e-01
1.350000000000000505e-03,-1.201499199999999989e+00,-3.891218999999999650e-01
1.399999999999998468e-03,-1.201499199999999989e+00,-3.959485999999999839e-01
1.449999999999999900e-03,-1.208325899999999953e+00,-4.027753000000000028e-01
1.500000000000001332e-03,-1.201499199999999989e+00,-4.096019999999999661e-01
1.549999999999999295e-03,-1.208325899999999953e+00,-4.027753000000000028e-01
1.600000000000000727e-03,-1.208325899999999953e+00,-4.096019999999999661e-01
1.649999999999998690e-03,-1.215152599999999916e+00,-4.027753000000000028e-01
1.700000000000000122e-03,-1.208325899999999953e+00,-3.959485999999999839e-01
1.750000000000001554e-03,-1.215152599999999916e+00,-4.096019999999999661e-01
1.799999999999999517e-03,-1.215152599999999916e+00,-4.096019999999999661e-01
1.850000000000000949e-03,-1.221979299999999879e+00,-4.164286999999999850e-01
1.899999999999998912e-03,-1.221979299999999879e+00,-4.232554000000000038e-01
1.950000000000000344e-03,-1.228806000000000065e+00,-4.096019999999999661e-01
