Time(s),Ch1(A),Ch2(V)
-1.990000000000000015e-03,1.536029999999999895e-01,-1.740782999999999914e-02
-1.979999999999999989e-03,1.536029999999999895e-01,-1.877314999999999887e-02
-1.969999999999999963e-03,1.706699999999999884e-01,-1.604250999999999941e-02
-1.959999999999999937e-03,1.536029999999999895e-01,-1.809049000000000074e-02
-1.949999999999999910e-03,1.877369999999999872e-01,-2.150378999999999832e-02
-1.939999999999999884e-03,1.536029999999999895e-01,-2.321043999999999885e-02
-1.929999999999999858e-03,1.877369999999999872e-01,-2.116245999999999752e-02
-1.919999999999999832e-03,1.536029999999999895e-01,-2.321043999999999885e-02
-1.909999999999999806e-03,1.706699999999999884e-01,-2.082113000000000019e-02
-1.899999999999999779e-03,1.877369999999999872e-01,-2.116245999999999752e-02
-1.889999999999999753e-03,1.706699999999999884e-01,-1.672517000000000101e-02
-1.879999999999999727e-03,1.706699999999999884e-01,-1.501851999999999875e-02
-1.869999999999999701e-03,1.877369999999999872e-01,-1.774915999999999994e-02
-1.859999999999999674e-03,1.877369999999999872e-01,-1.638384000000000021e-02
-1.849999999999999648e-03,1.706699999999999884e-01,-2.013846999999999859e-02
-1.840000000000000056e-03,1.706699999999999884e-01,-1.911447999999999967e-02
-1.830000000000000029e-03,1.877369999999999872e-01,-2.082113000000000019e-02
-1.820000000000000003e-03,1.706699999999999884e-01,-1.774915999999999994e-02
-1.809999999999999977e-03,1.877369999999999872e-01,-1.945581000000000046e-02
-1.799999999999999951e-03,1.706699999999999884e-01,-1.672517000000000101e-02
-1.789999999999999925e-03,2.048039999999999861e-01,-1.911447999999999967e-02
-1.779999999999999898e-03,1.706699999999999884e-01,-1.740782999999999914e-02
-1.769999999999999872e-03,2.048039999999999861e-01,-1.979713999999999779e-02
-1.759999999999999846e-03,2.048039999999999861e-01,-1.706649999999999834e-02
-1.749999999999999820e-03,1.877369999999999872e-01,-2.047979999999999939e-02
-1.739999999999999793e-03,1.706699999999999884e-01,-2.082113000000000019e-02
-1.729999999999999767e-03,2.048039999999999861e-01,-1.774915999999999994e-02
-1.719999999999999741e-03,1.877369999999999872e-01,-1.740782999999999914e-02
-1.709999999999999715e-03,2.048039999999999861e-01,-2.013846999999999859e-02
-1.699999999999999688e-03,1.877369999999999872e-01,-2.047979999999999939e-02
-1.689999999999999662e-03,2.048039999999999861e-01,-1.706649999999999834e-02
-1.679999999999999636e-03,1.706699999999999884e-01,-1.843181999999999807e-02
-1.670000000000000043e-03,2.048039999999999861e-01,-1.604250999999999941e-02
-1.660000000000000017e-03,1.877369999999999872e-01,-1.638384000000000021e-02
-1.649999999999999991e-03,2.218709999999999849e-01,-1.809049000000000074e-02
-1.639999999999999965e-03,1.877369999999999872e-01,-1.911447999999999967e-02
-1.629999999999999939e-03,2.048039999999999861e-01,-1.740782999999999914e-02
-1.619999999999999912e-03,2.218709999999999849e-01,-1.877314999999999887e-02
-1.609999999999999886e-03,1.877369999999999872e-01,-1.706649999999999834e-02
-1.599999999999999860e-03,1.877369999999999872e-01,-1.638384000000000021e-02
-1.589999999999999834e-03,2.218709999999999849e-01,-1.911447999999999967e-02
-1.579999999999999807e-03,2.218709999999999849e-01,-1.774915999999999994e-02
-1.569999999999999781e-03,1.877369999999999872e-01,-1.979713999999999779e-02
-1.559999999999999755e-03,2.048039999999999861e-01,-1.911447999999999967e-02
-1.549999999999999729e-03,2.218709999999999849e-01,-1.672517000000000101e-02
-1.539999999999999702e-03,2.048039999999999861e-01,-1.774915999999999994e-02
-1.529999999999999676e-03,2.218709999999999849e-01,-2.047979999999999939e-02
-1.519999999999999650e-03,1.877369999999999872e-01,-1.809049000000000074e-02
-1.509999999999999624e-03,2.218709999999999849e-01,-1.979713999999999779e-02
-1.500000000000000031e-03,1.877369999999999872e-01,-2.013846999999999859e-02
-1.490000000000000005e-03,2.218709999999999849e-01,-1.809049000000000074e-02
-1.479999999999999979e-03,2.048039999999999861e-01,-1.672517000000000101e-02
-1.469999999999999953e-03,2.218709999999999849e-01,-1.809049000000000074e-02
-1.459999999999999926e-03,2.218709999999999849e-01,-1.638384000000000021e-02
-1.449999999999999900e-03,2.389379999999999837e-01,-1.877314999999999887e-02
-1.439999999999999874e-03,2.389379999999999837e-01,-1.809049000000000074e-02
-1.429999999999999848e-03,2.048039999999999861e-01,-2.150378999999999832e-02
-1.419999999999999821e-03,2.218709999999999849e-01,-2.082113000000000019e-02
